Year,State,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1993,CA,56096,224548,234905,224327,200555,234972,275696,296134,268337,227598,184934,143002,115038,105884,102524,88201,63942,41289,33000
1993,CO,5132,21323,26805,26428,23297,25334,27626,34522,34292,30331,23774,17392,13725,12434,11237,9376,6687,4375,3660
1993,CT,4550,19326,22601,20755,19354,22084,25375,29233,28377,24820,22178,17590,14103,13762,13317,11976,9420,6075,5123
1993,DC,813,3403,3223,2905,3052,6069,6425,5777,4922,4265,3471,2882,2404,2248,2260,1992,1486,989,812
1993,DE,1005,4193,4950,4820,4401,5423,5688,6197,5910,5044,4341,3542,3007,3020,2906,2415,1654,997,789
1993,FL,18481,76521,89796,86733,80478,87367,99434,116104,108181,94410,80978,67798,60284,65420,75048,69120,52248,33468,24707
1993,GA,10318,42787,50684,51319,48679,53774,58019,63624,59053,52337,44263,34122,27056,23943,21886,18348,13338,8726,6404
1993,HI,1859,7447,8119,8180,7611,8369,9732,10476,10159,9140,7439,5556,4537,4741,4648,3785,2612,1554,1190
1993,IA,3547,15001,19651,21371,19788,20281,18542,21337,22300,20500,16532,13778,12258,11940,11829,10588,8676,6120,5752
1993,ID,1640,6732,8736,9925,9171,7591,6631,8384,8937,8188,6581,5213,4308,3933,3721,3311,2595,1717,1271
1993,IL,18182,72244,82727,84350,79186,85289,92349,104395,98048,85986,71240,58814,49005,46268,44194,38084,29655,19425,15964
1993,IN,7983,32327,39457,41858,40975,44273,41433,46807,47256,42336,35410,29231,24425,23212,22131,18645,14143,9246,7710
1993,KS,3423,14723,19085,19607,17358,17894,17861,20781,20943,18355,14766,11672,10073,9947,9710,8646,6756,4849,4488
1993,KY,4985,20619,25479,27961,27785,28697,27727,31115,30906,28021,23677,19525,16580,15559,14742,12420,9144,6212,4882
1993,LA,6471,26721,33544,35888,33040,32447,31470,35097,35040,30482,24948,20339,17231,16349,15351,12786,9123,6080,4713
1993,MA,8251,34807,40304,37211,35098,47316,52248,54314,50486,44586,37985,29311,24100,24060,24498,21706,16942,11400,9946
1993,MD,7346,30839,35889,33511,29763,33294,40860,47212,43665,38805,33380,26310,20604,18799,17642,14936,10461,6494,5255
1993,ME,1455,6632,8864,8855,8244,8235,8164,10293,10638,9793,8106,6186,5328,5317,5124,4372,3314,2280,1990
1993,MI,13497,57829,69954,69855,65872,69775,69972,79752,80282,71507,59093,47970,39369,37650,36406,30495,22925,14400,11688
1993,MN,6167,26603,34885,35089,30201,30258,33707,41349,39155,34418,27287,21710,17710,16488,15844,13854,11403,7929,7311
1993,MO,7097,30099,37530,38827,35480,36425,37158,43910,42234,37166,31536,26506,22623,21917,21480,18399,14288,10140,8745
1993,MS,3907,16101,19716,21918,21404,21758,17984,19835,20046,17774,14829,12439,10944,10257,9823,8361,6241,4408,3441
1993,MT,1019,4659,6450,6909,6176,5107,4671,6294,7147,6722,5305,4201,3513,3344,3139,2833,2245,1459,1125
1993,NC,9579,39913,46359,46121,46512,57635,56264,59482,57760,51805,44507,35747,30642,28677,27914,23155,16621,10587,7915
1993,ND,760,3421,4745,5051,4630,4798,4285,4860,5159,4514,3437,2730,2531,2529,2434,2183,1883,1388,1194
1993,NE,2100,9218,12163,12647,11421,11061,10900,13135,13003,11799,9282,7402,6578,6473,6255,5480,4401,3221,3031
1993,NH,1502,6708,8502,7949,6904,7658,8096,10399,10416,9064,7517,5560,4417,4193,4049,3440,2591,1732,1506
1993,NJ,11447,47205,52952,51033,48784,51317,61183,71917,67891,59479,52010,42073,34310,34010,32779,28559,21271,13625,10571
1993,NM,2624,10806,13323,13789,12217,10952,11125,13709,13257,11951,9610,7573,6478,6161,5647,4692,3359,2161,1594
1993,NV,2146,8698,9967,9382,8158,8981,11999,13588,12092,10446,9076,7590,6312,5767,5758,4537,2910,1538,962
1993,NY,27212,111064,123378,120278,117117,134124,147952,161574,150103,134705,114685,94884,79268,77598,72507,61382,46424,31335,26199
1993,OH,15356,63796,78566,80649,75764,79444,79529,90772,91940,82250,68275,56560,48368,46539,45462,38650,28763,18280,15000
1993,OK,4270,18482,23650,25086,23257,23456,21722,25803,25556,22567,19490,16121,14076,13259,12887,10919,8237,5957,4924
